7.487255,80.364524
7.487164,80.364840
7.487023,80.365135
7.486954,80.365510
7.486794,80.366117
7.486688,80.366540
7.486411,80.366830
7.486028,80.367034
7.485640,80.367227
7.485347,80.367383
7.485039,80.367495
7.484682,80.367587
7.484284,80.367651
7.483911,80.367699
7.483459,80.367764
7.483066,80.367849
7.482635,80.367994
7.482241,80.368220
7.481826,80.368520
7.481518,80.368804
7.481220,80.369148
7.480869,80.369679
7.480491,80.370296
7.480124,80.370902
7.479768,80.371465
7.479454,80.371980
7.479092,80.372543
7.478763,80.373123
7.478475,80.373729
7.478167,80.374330
7.477789,80.375038
7.477460,80.375682
7.477098,80.376341
7.476720,80.377012
7.476401,80.377618
7.476167,80.378262
7.475896,80.379024
7.475917,80.379903
7.476130,80.380746
7.476518,80.381470
7.476944,80.382097
7.477688,80.382602
7.477667,80.383160
7.477380,80.383803
7.477093,80.384415
7.476827,80.384994
7.476508,80.385638
7.476141,80.386292
7.475736,80.386968
7.475385,80.387558
7.475034,80.388154
7.474688,80.388765
7.474343,80.389393
7.473949,80.390031
