-1.00E+03,1,-0.24,26.4
-1.00E+03,2,-0.16,26.4
-1.00E+03,3,-0.24,26.4
-9.99E+02,4,-0.16,26.4
-9.99E+02,5,0,26.4
-9.99E+02,6,0,26.4
-9.99E+02,7,-0.16,26.4
-9.99E+02,8,-0.08,26.4
-9.98E+02,9,-0.16,26.4
-9.98E+02,10,-0.08,26.4
-9.98E+02,11,-0.16,26.4
-9.98E+02,12,0,26.4
-9.98E+02,13,-0.08,26.4
-9.97E+02,14,-0.16,26
-9.97E+02,15,-0.16,26
-9.97E+02,16,-0.08,26
-9.97E+02,17,-0.08,26
-9.97E+02,18,-0.16,26
-9.96E+02,19,-0.24,26.4
-9.96E+02,20,-0.16,26.4
-9.96E+02,21,-0.24,26.4
-9.96E+02,22,-0.08,26.4
-9.96E+02,23,-0.16,26.4
-9.95E+02,24,-0.16,25.6
-9.95E+02,25,-0.08,25.6
-9.95E+02,26,-0.16,25.6
-9.95E+02,27,-0.24,25.6
-9.95E+02,28,-0.16,25.6
-9.94E+02,29,0,26
-9.94E+02,30,-0.08,26
-9.94E+02,31,-0.16,26
-9.94E+02,32,-0.24,26
-9.94E+02,33,-0.08,26
-9.93E+02,34,-0.08,26
-9.93E+02,35,5.28,26
-9.93E+02,36,5.2,26
-9.93E+02,37,5.28,26
-9.93E+02,38,5.12,26
-9.92E+02,39,5.2,26
-9.92E+02,40,5.28,26
-9.92E+02,41,5.44,26
-9.92E+02,42,5.28,26
-9.92E+02,43,5.2,26
-9.91E+02,44,5.2,25.6
-9.91E+02,45,5.2,25.6
-9.91E+02,46,5.36,25.6
-9.91E+02,47,5.28,25.6
-9.91E+02,48,5.36,25.6
-9.90E+02,49,5.2,25.2
-9.90E+02,50,5.28,25.2
-9.90E+02,51,5.28,25.2
-9.90E+02,52,5.28,25.2
-9.90E+02,53,5.28,25.2
-9.89E+02,54,5.04,25.6
-9.89E+02,55,5.28,25.6
-9.89E+02,56,5.2,25.6
-9.89E+02,57,5.2,25.6
-9.89E+02,58,5.2,25.6
-9.88E+02,59,5.12,25.6
-9.88E+02,60,5.28,25.6
-9.88E+02,61,5.28,25.6
-9.88E+02,62,5.2,25.6
-9.88E+02,63,5.2,25.6
-9.87E+02,64,5.12,25.2
-9.87E+02,65,5.12,25.2
-9.87E+02,66,5.2,25.2
-9.87E+02,67,5.12,25.2
-9.87E+02,68,5.12,25.2
-9.86E+02,69,5.2,25.2
-9.86E+02,70,5.28,25.2
-9.86E+02,71,5.12,25.2
-9.86E+02,72,5.36,25.2
-9.86E+02,73,5.12,25.2
-9.85E+02,74,5.2,25.2
-9.85E+02,75,5.2,25.2
-9.85E+02,76,5.2,25.2
-9.85E+02,77,5.12,25.2
-9.85E+02,78,5.28,25.2
-9.84E+02,79,5.2,25.2
-9.84E+02,80,5.2,25.2
-9.84E+02,81,5.2,25.2
-9.84E+02,82,5.2,25.2
